N	 X			   section			 f(x) 
1	0.5000000000	0.5000000000	-0.2071067812
2	0.7500000000	0.2500000000	0.1553964425
3	0.6250000000	0.1250000000	-0.0234197773
4	0.6875000000	0.0625000000	0.0665710940
5	0.6562500000	0.0312500000	0.0217245214
6	0.6406250000	0.0156250000	-0.0008100080
7	0.6484375000	0.0078125000	0.0104666108
8	0.6445312500	0.0039062500	0.0048306462
9	0.6425781250	0.0019531250	0.0020109061
10	0.6416015625	0.0009765625	0.0006005959
11	0.6411132813	0.0004882813	-0.0001046693
12	0.6413574219	0.0002441406	0.0002479724
13	0.6412353516	0.0001220703	0.0000716538
14	0.6411743164	0.0000610352	-0.0000165072
15	0.6412048340	0.0000305176	0.0000275735
16	0.6411895752	0.0000152588	0.0000055332
17	0.6411819458	0.0000076294	-0.0000054870
18	0.6411857605	0.0000038147	0.0000000231
19	0.6411838531	0.0000019073	-0.0000027319
20	0.6411848068	0.0000009537	-0.0000013544
21	0.6411852837	0.0000004768	-0.0000006657
22	0.6411855221	0.0000002384	-0.0000003213
23	0.6411856413	0.0000001192	-0.0000001491
24	0.6411857009	0.0000000596	-0.0000000630
25	0.6411857307	0.0000000298	-0.0000000199
26	0.6411857456	0.0000000149	0.0000000016
27	0.6411857381	0.0000000075	-0.0000000092
